Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Approx_Price,Product_Description,Image_URL,Power_HP,Wattage_W,Head_m,Flow_Rate_LPM,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Pumps,centrifugal,https://havells.com/home-electricals/pumps/centrifugal-pump/cmr30t-centrifugal-monoblock-pump-mhptct3x00.html,,Standard,SKUMHPTCT3X00,30710.00,21792.00,N/A,N/A,"Key Features Application: Ideal for irrigations, gardening, sprinklers, construction site, domestic and community water supply Features: Dynamically balanced rotor for better efficiency and performance Warranty: 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/m/cmj30t_pump_main_1.jpg,N/A,N/A,N/A,N/A,Warranty: 1 Year,N/A,"ce, Ce, CE, isi, ul, ISI",onsWashing,India,N/A
Havells,Pumps,centrifugal,https://havells.com/home-electricals/pumps/centrifugal-pump/cmj30t-centrifugal-monoblock-pump-mhprct3x00.html,,Standard,SKUMHPRCT3X00,29400.00,21793.00,N/A,N/A,"Key Features Application: Ideal for irrigations, gardening, sprinklers, construction site, domestic and community water supply Features: Dynamically balanced rotor for better efficiency and performance Warranty: 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/m/cmj30t_pump_main.jpg,N/A,N/A,N/A,N/A,Warranty: 1 Year,N/A,"ce, Ce, CE, isi, ul, ISI",onsWashing,India,N/A
Havells,Pumps,centrifugal,https://havells.com/home-electricals/pumps/centrifugal-pump/cmv20d-pro-centrifugal-monoblock-pump-mhpvfy2x00.html,,Standard,SKUMHPVFY2X00,22190.00,15509.00,N/A,N/A,"Key Features Application: Ideal for irrigations, gardening, sprinklers, construction site, domestic and community water supply Features: 1. In built thermal over load protector and class F motor insulation 2. Dynamically balanced rotor for better efficiency and performance Warranty: 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/e/centrifugal_monoblock_pump_main_21.jpg,N/A,N/A,N/A,N/A,Warranty: 1 Year,N/A,"ce, Ce, CE, isi, ul, ISI",onsWashing,India,N/A
Havells,Pumps,centrifugal,https://havells.com/home-electricals/pumps/centrifugal-pump/cmv20dw-plus-centrifugal-monoblock-pump-mhpvcl2x00.html,,Standard,SKUMHPVCL2X00,20660.00,14439.00,N/A,N/A,"Key Features Application: Ideal for irrigations, gardening, sprinklers, construction site, domestic and community water supply Features: 1. In built thermal over load protector and class F motor insulation 2. Dynamically balanced rotor for better efficiency and performance Warranty: 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/e/centrifugal_monoblock_pump_main_20.jpg,N/A,N/A,N/A,N/A,Warranty: 1 Year,N/A,"ce, Ce, CE, isi, ul, ISI",onsWashing,India,N/A
Havells,Pumps,centrifugal,https://havells.com/home-electricals/pumps/centrifugal-pump/cmv10e-centrifugal-monoblock-pump-mhpvcm1x00.html,,Standard,SKUMHPVCM1X00,16770.00,11721.00,N/A,N/A,"Key Features Application: Ideal for irrigations, gardening, sprinklers, construction site, domestic and community water supply Features: 1. In built thermal over load protector and class F motor insulation 2. Dynamically balanced rotor for better efficiency and performance Warranty: 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/e/centrifugal_monoblock_pump_main_10.jpg,N/A,N/A,N/A,N/A,Warranty: 1 Year,N/A,"ce, Ce, CE, isi, ul, ISI",onsWashing,India,N/A
Havells,Pumps,centrifugal,https://havells.com/home-electricals/pumps/centrifugal-pump/cmq05-centrifugal-monoblock-pump-mhpscm0x50.html,,Standard,SKUMHPSCM0X50,9530.00,6627.00,N/A,N/A,"Key Features Application: Ideal for irrigations, gardening, sprinklers, construction site, domestic and community water supply Features: 1. In built thermal over load protector and class F motor insulation 2. Dynamically balanced rotor for better efficiency and performance Warranty: 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/e/centrifugal_monoblock_pump_main_1.jpg,N/A,N/A,N/A,N/A,Warranty: 1 Year,N/A,"ce, Ce, CE, isi, ul, ISI",onsWashing,India,N/A
Havells,Pumps,centrifugal,https://havells.com/home-electricals/pumps/centrifugal-pump/cmn10-29-centrifugal-monoblock-pump-mhppcm1x00.html,,Standard,SKUMHPPCM1X00,11690.00,8165.00,N/A,N/A,"Key Features Application: Ideal for irrigations, gardening, sprinklers, construction site, domestic and community water supply Features: 1. In built thermal over load protector and class F motor insulation 2. Dynamically balanced rotor for better efficiency and performance Operating Voltage Range: 180 V - 250 V Warranty: 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/e/centrifugal_monoblock_pump_main_31.jpg,N/A,N/A,N/A,N/A,Warranty: 1 Year,N/A,"ce, Ce, CE, isi, ul, ISI",onsWashing,India,N/A
Havells,Pumps,centrifugal,https://havells.com/home-electricals/pumps/centrifugal-pump/cmm10-30-centrifugal-monoblock-pump-mhpocm1x00.html,,Standard,SKUMHPOCM1X00,11750.00,7888.00,N/A,N/A,"Key Features Application: Ideal for irrigations, gardening, sprinklers, construction site, domestic and community water supply Features: 1. In built thermal over load protector and class F motor insulation 2. Dynamically balanced rotor for better efficiency and performance Operating Voltage Range: 180 V - 250 V Warranty: 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/m/cmb_main_1.jpg,N/A,N/A,N/A,N/A,Warranty: 1 Year,N/A,"ce, Ce, CE, isi, ul, ISI",onsWashing,India,N/A
Havells,Pumps,centrifugal,https://havells.com/home-electricals/pumps/centrifugal-pump/cmm05-21-centrifugal-monoblock-pump-mhpocm0x50.html,,Standard,SKUMHPOCM0X50,8190.00,5503.00,N/A,N/A,"Key Features Application: Ideal for irrigations, gardening, sprinklers, construction site, domestic and community water supply Features: 1. In built thermal over load protector and class F motor insulation 2. Dynamically balanced rotor for better efficiency and performance Operating Voltage Range: 180 V - 250 V Warranty: 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/e/centrifugal_monoblock_pump_main_29.jpg,N/A,N/A,N/A,N/A,Warranty: 1 Year,N/A,"ce, Ce, CE, isi, ul, ISI",onsWashing,India,N/A
Havells,Pumps,centrifugal,https://havells.com/home-electricals/pumps/centrifugal-pump/cmm05-18-centrifugal-monoblock-pump-mhpocr0x50.html,,Standard,SKUMHPOCR0X50,7660.00,5352.00,N/A,N/A,"Key Features Application: Ideal for irrigations, gardening, sprinklers, construction site, domestic and community water supply Features: 1. In built thermal over load protector and class F motor insulation 2. Dynamically balanced rotor for better efficiency and performance Operating Voltage Range: 180 V - 250 V Warranty: 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/e/centrifugal_monoblock_pump_main_28.jpg,N/A,N/A,N/A,N/A,Warranty: 1 Year,N/A,"ce, Ce, CE, isi, ul, ISI",onsWashing,India,N/A
